epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
53,541.512,0.45433,0.30014,0.42184,0.87442,0,0.97939,0.99167,0.99183,0.92612,0.97939,0.99167,0.99183,0.91918,0.24303,0.16942,1.63827,0.5199,0,0.0009704,0.0009704,0.0009704
54,549.968,0.42368,0.2914,0.41612,0.85496,0,0.9834,0.98732,0.99149,0.93391,0.9834,0.98732,0.99149,0.92958,0.24559,0.16124,0.5634,0.52131,0,0.0009506,0.0009506,0.0009506
55,560.183,0.41654,0.2641,0.40426,0.85741,0,0.98331,1,0.99235,0.93121,0.98331,1,0.99235,0.94264,0.23,0.14902,0.46019,0.51524,0,0.0009308,0.0009308,0.0009308
56,570.045,0.4413,0.26103,0.4153,0.86987,0,0.98222,1,0.99358,0.93627,0.98222,1,0.99358,0.94263,0.23077,0.13239,0.54448,0.51573,0,0.000911,0.000911,0.000911
57,580.199,0.43695,0.2522,0.39795,0.84935,0,0.99075,1,0.99285,0.93484,0.99075,1,0.99285,0.93523,0.22549,0.13115,0.24379,0.51456,0,0.0008912,0.0008912,0.0008912
58,589.226,0.42816,0.23027,0.40958,0.86267,0,0.99157,1,0.99178,0.92727,0.99157,1,0.99178,0.94953,0.22834,0.12827,0.27627,0.51436,0,0.0008714,0.0008714,0.0008714
59,598.967,0.43444,0.28589,0.40146,0.85978,0,0.98316,1,0.99208,0.93197,0.98316,1,0.99208,0.93061,0.24331,0.14256,0.28115,0.52136,0,0.0008516,0.0008516,0.0008516
60,609.009,0.4237,0.29171,0.39388,0.86936,0,0.98246,1,0.99099,0.93816,0.98246,1,0.99099,0.94248,0.23444,0.14743,0.2594,0.51594,0,0.0008318,0.0008318,0.0008318
61,618.681,0.39447,0.27857,0.37707,0.85074,0,0.98257,1,0.98698,0.93583,0.98257,1,0.98698,0.93287,0.21501,0.15615,0.2349,0.51458,0,0.000812,0.000812,0.000812
62,628.41,0.39989,0.22985,0.38098,0.85453,0,0.98279,1,0.98835,0.94476,0.98279,1,0.98835,0.93205,0.2091,0.15957,0.29139,0.51143,0,0.0007922,0.0007922,0.0007922
63,638.04,0.41791,0.27565,0.39086,0.85699,0,0.97559,0.99919,0.98722,0.93721,0.97559,0.99919,0.98722,0.93028,0.20925,0.14198,0.91113,0.51171,0,0.0007724,0.0007724,0.0007724
64,647.843,0.38591,0.24226,0.37906,0.85371,0,0.97559,0.9991,0.99057,0.94131,0.97559,0.9991,0.99057,0.92308,0.21504,0.15013,1.54835,0.51251,0,0.0007526,0.0007526,0.0007526
65,656.364,0.38567,0.23535,0.37098,0.85299,0,0.98263,0.99167,0.99138,0.94164,0.98263,0.99167,0.99138,0.94214,0.21637,0.15046,1.13717,0.51308,0,0.0007328,0.0007328,0.0007328
66,666.288,0.41304,0.29393,0.38303,0.85832,0,0.98039,0.975,0.99089,0.93386,0.98039,0.975,0.99089,0.93342,0.23586,0.13805,0.52841,0.51596,0,0.000713,0.000713,0.000713
67,675.951,0.40273,0.22313,0.38518,0.85163,0,0.98359,0.99913,0.99298,0.94496,0.98359,0.99913,0.99298,0.95273,0.22858,0.12797,0.26798,0.51572,0,0.0006932,0.0006932,0.0006932
68,686.448,0.39966,0.25063,0.37106,0.85897,0,0.99173,0.99899,0.99376,0.94901,0.99173,0.99899,0.99376,0.94469,0.21102,0.13631,0.21757,0.51696,0,0.0006734,0.0006734,0.0006734
69,695.937,0.38976,0.25961,0.37388,0.84984,0,0.98361,0.9999,0.99417,0.95031,0.98361,0.9999,0.99417,0.96,0.2,0.13851,0.23154,0.51297,0,0.0006536,0.0006536,0.0006536
70,706.437,0.38136,0.2906,0.36683,0.86735,0,0.9756,0.99959,0.99122,0.95123,0.9756,0.99959,0.99122,0.93638,0.19355,0.12811,0.24263,0.51631,0,0.0006338,0.0006338,0.0006338
71,715.884,0.3677,0.22805,0.3591,0.84347,0,0.9836,0.9998,0.9935,0.95617,0.9836,0.9998,0.9935,0.95847,0.19659,0.12241,0.23831,0.51247,0,0.000614,0.000614,0.000614
72,726.472,0.37865,0.23237,0.34626,0.85364,0,0.99172,0.99801,0.99335,0.95266,0.99172,0.99801,0.99335,0.94215,0.19597,0.1247,0.2379,0.51155,0,0.0005942,0.0005942,0.0005942
73,735.683,0.35655,0.23681,0.34229,0.86259,0,0.9824,1,0.99296,0.95104,0.9824,1,0.99296,0.94542,0.19717,0.1265,0.24758,0.5139,0,0.0005744,0.0005744,0.0005744
74,745.381,0.36165,0.20738,0.35349,0.84995,0,0.98988,1,0.99293,0.94538,0.98988,1,0.99293,0.9419,0.21099,0.11613,0.22468,0.51299,0,0.0005546,0.0005546,0.0005546
75,755.554,0.35458,0.21299,0.34447,0.84599,0,0.99057,1,0.99426,0.94069,0.99057,1,0.99426,0.95212,0.2084,0.12,0.20005,0.51268,0,0.0005348,0.0005348,0.0005348
76,765.592,0.34646,0.27398,0.33817,0.84384,0,0.9816,1,0.994,0.95152,0.9816,1,0.994,0.95304,0.19545,0.12167,0.19647,0.51032,0,0.000515,0.000515,0.000515
77,775.264,0.35582,0.21049,0.33569,0.84895,0,0.98206,1,0.99417,0.96198,0.98206,1,0.99417,0.94997,0.17719,0.12106,0.18816,0.50935,0,0.0004952,0.0004952,0.0004952
78,785.593,0.35629,0.22409,0.33851,0.84579,0,0.9829,1,0.994,0.95955,0.9829,1,0.994,0.95219,0.18818,0.11406,0.19965,0.50943,0,0.0004754,0.0004754,0.0004754
79,795.791,0.35241,0.24778,0.3231,0.84599,0,0.99019,1,0.99318,0.96596,0.99019,1,0.99318,0.95111,0.17433,0.12012,0.22752,0.50812,0,0.0004556,0.0004556,0.0004556
80,805.275,0.34442,0.21132,0.32283,0.84209,0,0.99075,1,0.99335,0.95626,0.99075,1,0.99335,0.94933,0.18046,0.11234,0.23293,0.50971,0,0.0004358,0.0004358,0.0004358
81,814.958,0.33289,0.21987,0.31925,0.84027,0,0.98516,1,0.99376,0.95673,0.98516,1,0.99376,0.96089,0.18777,0.10628,0.18724,0.50957,0,0.000416,0.000416,0.000416
82,825.262,0.35079,0.23,0.32109,0.85767,0,0.97964,1,0.98963,0.96139,0.97964,1,0.98963,0.95306,0.17478,0.107,0.18117,0.50851,0,0.0003962,0.0003962,0.0003962
83,835.208,0.3183,0.21746,0.31367,0.83462,0,0.98359,0.99869,0.98691,0.95993,0.98359,0.99869,0.98691,0.95048,0.17496,0.1063,0.18029,0.5077,0,0.0003764,0.0003764,0.0003764
84,845.099,0.3227,0.20061,0.32249,0.84832,0,0.98321,1,0.98672,0.96353,0.98321,1,0.98672,0.9469,0.17056,0.1062,0.18569,0.50687,0,0.0003566,0.0003566,0.0003566
85,854.559,0.31999,0.20185,0.30725,0.84823,0,0.98311,1,0.98722,0.96217,0.98311,1,0.98722,0.9413,0.1731,0.10783,0.18159,0.50613,0,0.0003368,0.0003368,0.0003368
86,864.125,0.3276,0.18962,0.32675,0.84787,0,0.97445,1,0.99313,0.96578,0.97445,1,0.99313,0.9475,0.1718,0.11137,0.173,0.50684,0,0.000317,0.000317,0.000317
87,874.167,0.31873,0.2542,0.31809,0.84694,0,0.9833,1,0.99368,0.97127,0.9833,1,0.99368,0.9618,0.1747,0.10837,0.16651,0.50673,0,0.0002972,0.0002972,0.0002972
88,883.093,0.32359,0.18742,0.30013,0.84041,0,0.99118,1,0.9936,0.96886,0.99118,1,0.9936,0.95374,0.1608,0.10736,0.17156,0.50559,0,0.0002774,0.0002774,0.0002774
89,893.362,0.30376,0.20323,0.29259,0.83821,0,0.99115,1,0.99335,0.97387,0.99115,1,0.99335,0.94888,0.15985,0.10757,0.19011,0.50594,0,0.0002576,0.0002576,0.0002576
90,903.299,0.30738,0.20565,0.30888,0.83493,0,0.98344,1,0.99335,0.97393,0.98344,1,0.99335,0.95236,0.15957,0.10708,0.1986,0.50716,0,0.0002378,0.0002378,0.0002378
91,918.081,0.25486,0.1494,0.27181,0.80355,0,0.98975,1,0.99343,0.97256,0.98975,1,0.99343,0.96039,0.15524,0.10905,0.20999,0.50433,0,0.000218,0.000218,0.000218
92,927.799,0.26472,0.1734,0.28236,0.80168,0,0.9889,1,0.99293,0.97743,0.9889,1,0.99293,0.9627,0.14817,0.1066,0.23925,0.50258,0,0.0001982,0.0001982,0.0001982
93,936.408,0.24915,0.15057,0.25257,0.79228,0,0.9905,1,0.99219,0.97403,0.9905,1,0.99219,0.9552,0.14638,0.10465,0.26007,0.50305,0,0.0001784,0.0001784,0.0001784
94,946.006,0.25384,0.14912,0.27585,0.80067,0,0.99115,1,0.99302,0.96932,0.99115,1,0.99302,0.95222,0.15067,0.10639,0.23038,0.50204,0,0.0001586,0.0001586,0.0001586
95,955.162,0.23738,0.14444,0.26215,0.79469,0,0.99121,1,0.99293,0.97495,0.99121,1,0.99293,0.95263,0.14493,0.10672,0.20477,0.50328,0,0.0001388,0.0001388,0.0001388
96,964.132,0.25049,0.15769,0.27173,0.80056,0,0.99124,1,0.9936,0.97287,0.99124,1,0.9936,0.9559,0.15081,0.10632,0.20162,0.50314,0,0.000119,0.000119,0.000119
97,973.325,0.24321,0.16451,0.2568,0.79775,0,0.9912,1,0.99376,0.97506,0.9912,1,0.99376,0.95957,0.15158,0.10633,0.19822,0.50294,0,9.92e-05,9.92e-05,9.92e-05
98,982.242,0.24482,0.14959,0.25525,0.79016,0,0.99118,1,0.99376,0.97425,0.99118,1,0.99376,0.95387,0.15182,0.10584,0.20155,0.50313,0,7.94e-05,7.94e-05,7.94e-05
99,991.389,0.23935,0.16088,0.26061,0.79319,0,0.99121,1,0.9936,0.97315,0.99121,1,0.9936,0.95928,0.14618,0.10443,0.20216,0.50319,0,5.96e-05,5.96e-05,5.96e-05
100,999.999,0.23369,0.14478,0.24968,0.78966,0,0.99125,1,0.99376,0.98056,0.99125,1,0.99376,0.96328,0.14129,0.10232,0.1926,0.50255,0,3.98e-05,3.98e-05,3.98e-05
