Frame,Drift_Error_cm,Status,GridX,GridY
312,15.885,OUTLIER,0,0
313,14.8767,OUTLIER,0,0
314,15.3518,OUTLIER,0,0
315,16.9364,OUTLIER,0,0
316,17.3563,OUTLIER,0,0
317,17.5126,OUTLIER,0,0
318,16.7783,OUTLIER,0,0
319,16.162,OUTLIER,0,0
320,16.0685,OUTLIER,0,0
321,15.7404,OUTLIER,0,0
322,15.3165,OUTLIER,0,0
323,14.5964,OUTLIER,0,0
324,14.5397,OUTLIER,0,0
325,15.9517,OUTLIER,0,0
326,18.1089,OUTLIER,0,0
327,19.9304,OUTLIER,0,0
328,24.1356,OUTLIER,0,0
329,27.5509,OUTLIER,0,0
330,17.4191,OUTLIER,0,0
331,16.9317,OUTLIER,0,0
332,12.8159,OUTLIER,0,0
333,11.7486,OUTLIER,0,0
334,12.2841,OUTLIER,0,0
335,12.599,OUTLIER,0,0
336,13.3672,OUTLIER,0,0
337,13.1224,OUTLIER,0,0
338,12.8235,OUTLIER,0,0
339,12.3085,OUTLIER,0,0
340,11.6827,OUTLIER,0,0
341,12.1838,OUTLIER,0,0
342,11.983,OUTLIER,0,0
343,11.8729,OUTLIER,0,0
344,11.4908,OUTLIER,0,0
345,11.6767,OUTLIER,0,0
346,11.0929,OUTLIER,0,0
347,11.8621,OUTLIER,0,0
348,13.1344,OUTLIER,0,0
349,13.0997,OUTLIER,0,0
350,10.949,OUTLIER,0,0
351,14.5047,OUTLIER,0,0
352,18.0926,OUTLIER,0,0
353,13.393,OUTLIER,0,0
354,14.0449,OUTLIER,0,0
355,12.9718,OUTLIER,0,0
356,12.9379,OUTLIER,0,0
357,13.2746,OUTLIER,0,0
358,13.8443,OUTLIER,0,0
359,14.8317,OUTLIER,0,0
360,14.3259,OUTLIER,0,0
361,15.47,OUTLIER,0,0
362,14.441,OUTLIER,0,0
363,14.1475,OUTLIER,0,0
364,13.3303,OUTLIER,0,0
365,12.9813,OUTLIER,0,0
366,12.3263,OUTLIER,0,0
367,11.7152,OUTLIER,0,0
368,10.6139,OUTLIER,0,0
369,10.6735,OUTLIER,0,0
370,10.3608,OUTLIER,0,0
